id,crypto_id,price_usd,market_cap_usd,volume_usd_24hr,timestamp
2,bitcoin,108915.31,2165962242295.01,16515120927.41,2025-07-03 00:23:22.864563
3,ethereum,2570.65,310322489798.03,11490517916.17,2025-07-03 00:23:22.865225
4,tether,1.0,157886735471.95,35992037601.06,2025-07-03 00:23:22.865292
5,xrp,2.23,131896595131.17,1900101382.29,2025-07-03 00:23:22.865340
6,binance-coin,659.55,94978989267.7,428000886.01,2025-07-03 00:23:22.865384
7,solana,152.37,81458954586.29,2304777693.2,2025-07-03 00:23:22.865425
8,usd-coin,1.0,61790901671.14,6782196992.59,2025-07-03 00:23:22.865481
9,tron,0.28,27008711572.08,236203047.0,2025-07-03 00:23:22.865531
10,dogecoin,0.17,25289223047.19,768613876.65,2025-07-03 00:23:22.865573
11,steth,2571.88,23403440430.78,20987518.41,2025-07-03 00:23:22.865612
12,cardano,0.59,20710617824.77,524767656.44,2025-07-03 00:23:22.865652
13,wrapped-bitcoin,108878.86,14047358367.27,110081488.27,2025-07-03 00:23:22.865698
14,hyperliquid,39.8,13290999095.72,234496245.63,2025-07-03 00:23:22.865739
15,bitcoin-cash,513.87,10221822677.71,164108358.14,2025-07-03 00:23:22.865777
16,sui,2.9,10010610785.46,743486443.32,2025-07-03 00:23:22.865821
17,chainlink,13.56,9196693652.37,258646005.82,2025-07-03 00:23:22.865860
18,weth,2570.65,8676769514.25,537916963.6,2025-07-03 00:23:22.865898
19,unus-sed-leo,8.99,8300432948.55,2909134.76,2025-07-03 00:23:22.865935
20,avalanche,18.55,7832492380.66,215450503.11,2025-07-03 00:23:22.865974
21,stellar,0.24,7387660482.39,73412305.41,2025-07-03 00:23:22.866010
22,bitcoin-bep2,108910.1,7102379184.62,28059247.02,2025-07-03 00:23:22.866047
23,toncoin,2.87,7084153293.95,88066878.67,2025-07-03 00:23:22.866083
24,shiba-inu,0.0,6959072010.49,76232611.69,2025-07-03 00:23:22.866123
25,litecoin,87.44,6648231503.68,244261148.71,2025-07-03 00:23:22.866161
26,hedera-hashgraph,0.16,6597686119.96,88933322.93,2025-07-03 00:23:22.866198
27,monero,321.61,5932611962.25,89298511.77,2025-07-03 00:23:22.866240
28,polkadot,3.55,5403033689.91,155933840.78,2025-07-03 00:23:22.866279
29,bitget-token-new,4.59,5368815674.36,93313977.95,2025-07-03 00:23:22.866315
30,multi-collateral-dai,1.0,5363792100.54,60081356.8,2025-07-03 00:23:22.866353
31,ethena-usde,1.0,5305668751.63,52124599.86,2025-07-03 00:23:22.866389
32,uniswap,7.35,4618647659.79,442236292.75,2025-07-03 00:23:22.866424
33,pepe,0.0,4251616452.93,672452234.55,2025-07-03 00:23:22.866488
34,aave,275.7,4183342736.21,258937784.58,2025-07-03 00:23:22.866524
35,pi,0.49,3764652894.42,70868526.6,2025-07-03 00:23:22.866560
36,aptos,4.75,3058736465.73,115489454.66,2025-07-03 00:23:22.866596
37,okb,49.85,2991114340.88,3910748.9,2025-07-03 00:23:22.866632
38,bittensor,333.51,2971400360.14,115491990.76,2025-07-03 00:23:22.866669
39,near-protocol,2.22,2732236679.95,104771938.24,2025-07-03 00:23:22.866704
40,internet-computer,5.03,2688985581.1,29126147.43,2025-07-03 00:23:22.866738
41,ethereum-classic,16.97,2589273647.1,29165602.28,2025-07-03 00:23:22.866773
42,crypto-com-coin,0.08,2573149596.58,7431903.53,2025-07-03 00:23:22.866819
43,ondo-finance,0.79,2482995959.35,90287291.59,2025-07-03 00:23:22.866855
44,kaspa,0.08,2057002925.77,78009939.67,2025-07-03 00:23:22.866891
45,polygon-ecosystem-token,0.19,1996279832.17,36176587.79,2025-07-03 00:23:22.866930
46,mantle,0.59,1970366565.33,127784500.49,2025-07-03 00:23:22.866965
47,gatetoken,15.84,1947190976.49,7988105.77,2025-07-03 00:23:22.867000
48,vechain,0.02,1881350141.75,18719558.88,2025-07-03 00:23:22.867034
49,fetch,0.72,1811939541.01,75066033.07,2025-07-03 00:23:22.867069
50,official-trump,8.83,1766614706.22,94775872.31,2025-07-03 00:23:22.867106
51,arbitrum,0.35,1730528396.55,310498270.11,2025-07-03 00:23:22.867142
52,render,3.27,1694412155.23,59800675.28,2025-07-03 00:23:22.867177
53,ethena,0.28,1683222222.46,130850283.71,2025-07-03 00:23:22.867212
54,cosmos,4.18,1635049653.43,54821873.01,2025-07-03 00:23:22.867248
55,filecoin,2.38,1615951195.54,149682751.35,2025-07-03 00:23:22.867285
56,worldcoin-org,0.95,1604581985.99,132494874.53,2025-07-03 00:23:22.867320
57,sei,0.28,1573731821.34,236311554.49,2025-07-03 00:23:22.867354
58,algorand,0.18,1568524559.49,49032046.33,2025-07-03 00:23:22.867388
59,first-digital-usd,1.0,1462592254.88,5630288078.52,2025-07-03 00:23:22.867423
60,kucoin-token,11.16,1422892991.7,1062792.19,2025-07-03 00:23:22.867476
61,jupiter,0.46,1371678663.63,27820647.16,2025-07-03 00:23:22.867513
62,quant,109.25,1318959933.56,11853338.06,2025-07-03 00:23:22.867549
63,bonk1,0.0,1256279036.09,161479983.49,2025-07-03 00:23:22.867585
64,fartcoin,1.14,1142636215.68,188998775.65,2025-07-03 00:23:22.867621
65,injective-protocol,11.33,1132624878.67,102970520.51,2025-07-03 00:23:22.867655
66,celestia,1.57,1090713856.49,102418944.66,2025-07-03 00:23:22.867691
67,stacks,0.69,1056822440.26,20481224.54,2025-07-03 00:23:22.867726
68,flare,0.02,1053428769.52,4039580.26,2025-07-03 00:23:22.867759
69,wbnb,660.23,1045070016.48,144369256.05,2025-07-03 00:23:22.867802
70,virtual-protocol,1.6,1037913988.23,150848254.64,2025-07-03 00:23:22.867837
71,xinfin-network,0.06,980486572.38,17422115.77,2025-07-03 00:23:22.867874
72,kaia,0.16,980361179.81,19599826.27,2025-07-03 00:23:22.867909
73,pudgy-penguins,0.02,952071576.71,560310419.2,2025-07-03 00:23:22.867943
74,fantom,0.32,928916094.55,55835570.33,2025-07-03 00:23:22.867978
75,optimism-ethereum,0.56,913992065.01,104635452.23,2025-07-03 00:23:22.868014
76,dogwifhat,0.91,910116671.76,431020936.34,2025-07-03 00:23:22.868206
77,paypal-usd,1.0,898911182.73,7380083.09,2025-07-03 00:23:22.868250
78,the-graph,0.09,859361003.89,15553598.18,2025-07-03 00:23:22.868286
79,story-protocol,2.97,851009886.12,17147784.84,2025-07-03 00:23:22.868322
80,tether-gold,3344.96,824612941.64,23694602.2,2025-07-03 00:23:22.868357
81,immutable-x,0.46,806647319.06,19887651.47,2025-07-03 00:23:22.868391
82,nexo,1.21,781964125.36,5910893.24,2025-07-03 00:23:22.868426
83,pancakeswap,2.35,754099521.12,25345733.49,2025-07-03 00:23:22.868495
84,floki-inu,0.0,752028555.8,46591205.85,2025-07-03 00:23:22.868532
85,jito,2.17,746326970.45,27097358.99,2025-07-03 00:23:22.868566
86,theta,0.72,719113901.84,16695425.45,2025-07-03 00:23:22.868600
87,curve-dao-token,0.53,716862487.16,50106113.89,2025-07-03 00:23:22.868639
88,pax-gold,3351.54,705067488.11,25933463.95,2025-07-03 00:23:22.868678
89,lido-dao,0.76,686011467.88,48996797.08,2025-07-03 00:23:22.868712
90,ethereum-name-service,19.24,684783387.42,35513311.99,2025-07-03 00:23:22.868746
91,gala,0.01,664857289.83,66772488.76,2025-07-03 00:23:22.868788
92,zcash,38.86,649949486.17,9707184.16,2025-07-03 00:23:22.868823
93,the-sandbox,0.25,648631689.29,26720957.11,2025-07-03 00:23:22.868857
94,iota,0.16,635148240.27,10936540.32,2025-07-03 00:23:22.868891
95,usual-usd,1.0,630722281.06,5119872.21,2025-07-03 00:23:22.868924
96,jasmy,0.01,623512170.88,58472875.68,2025-07-03 00:23:22.868974
97,dexe,7.41,620803497.39,4117142.2,2025-07-03 00:23:22.869007
98,aerodrome-finance,0.77,617330218.51,22192698.02,2025-07-03 00:23:22.869042
99,bittorrent,0.0,605732231.26,2009758.33,2025-07-03 00:23:22.869076
100,pendle,3.53,580308857.83,13883562.3,2025-07-03 00:23:22.869111
101,tezos,0.55,577083422.59,7254408.21,2025-07-03 00:23:22.869145
